Preprocessing,Model,CV_Accuracy_Mean,CV_Precision_Mean,CV_Recall_Mean,CV_F1_Mean,CV_AUC_Mean,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_AUC
raw,LogisticRegression,0.7767295597484277,0.7375372924289334,0.578654970760234,0.6354135338345864,0.8393901420217208,0.7445887445887446,0.671875,0.5308641975308642,0.593103448275862,0.8344032921810699
raw,LDA,0.7804332634521314,0.7534743722050223,0.578654970760234,0.6408638082661852,0.8380200501253132,0.7359307359307359,0.6612903225806451,0.5061728395061729,0.5734265734265734,0.8346502057613169
raw,KNN,0.7301187980433264,0.6357920302092129,0.5675438596491228,0.5922272228261027,0.7741687552213867,0.7012987012987013,0.5833333333333334,0.5185185185185185,0.5490196078431373,0.7321399176954733
raw,DecisionTree,0.7058350803633824,0.6005740252926954,0.5771929824561404,0.5790157554863437,0.6757393483709273,0.6926406926406926,0.5657894736842105,0.5308641975308642,0.5477707006369427,0.6554320987654322
raw,GaussianNB,0.7506638714185885,0.6681442912093067,0.5888888888888889,0.6197446481966605,0.8179532163742689,0.7272727272727273,0.618421052631579,0.5802469135802469,0.5987261146496815,0.8037037037037037
raw,SVM,0.7579315164220826,0.7397759103641456,0.4926900584795321,0.5781955429014253,0.8146700083542189,0.7445887445887446,0.72,0.4444444444444444,0.549618320610687,0.817037037037037
minmax,LogisticRegression,0.7747728860936409,0.762511537310299,0.5403508771929824,0.6204699846805111,0.8390726817042605,0.7272727272727273,0.6451612903225806,0.49382716049382713,0.5594405594405595,0.8383539094650205
minmax,LDA,0.7804332634521314,0.7534743722050223,0.578654970760234,0.6408638082661852,0.8380200501253132,0.7359307359307359,0.6612903225806451,0.5061728395061729,0.5734265734265734,0.8346502057613169
minmax,KNN,0.7227113906359189,0.617531206323776,0.5508771929824561,0.574424311968675,0.7610192147034252,0.7359307359307359,0.6515151515151515,0.5308641975308642,0.5850340136054422,0.7786008230452675
minmax,DecisionTree,0.7058350803633824,0.6005740252926954,0.5771929824561404,0.5790157554863437,0.6757393483709273,0.6926406926406926,0.5657894736842105,0.5308641975308642,0.5477707006369427,0.6554320987654322
minmax,GaussianNB,0.7506638714185885,0.6681442912093067,0.5888888888888889,0.6197446481966605,0.8179532163742689,0.7272727272727273,0.618421052631579,0.5802469135802469,0.5987261146496815,0.8037037037037037
minmax,SVM,0.7787211740041928,0.7700152844231791,0.5573099415204679,0.631781668732667,0.8255973266499582,0.7359307359307359,0.6666666666666666,0.49382716049382713,0.5673758865248227,0.8221399176954732
standard,LogisticRegression,0.7748427672955975,0.7381134878193701,0.5678362573099416,0.6300090847149671,0.8396908939014202,0.7445887445887446,0.671875,0.5308641975308642,0.593103448275862,0.8362962962962962
standard,LDA,0.7804332634521314,0.7534743722050223,0.578654970760234,0.6408638082661852,0.8380200501253132,0.7359307359307359,0.6612903225806451,0.5061728395061729,0.5734265734265734,0.8346502057613169
standard,KNN,0.7377707896575821,0.6361918890363164,0.5894736842105263,0.605449968081547,0.798408521303258,0.7445887445887446,0.6527777777777778,0.5802469135802469,0.6143790849673203,0.8034156378600823
standard,DecisionTree,0.7058350803633824,0.6005740252926954,0.5771929824561404,0.5790157554863437,0.6757393483709273,0.6926406926406926,0.5657894736842105,0.5308641975308642,0.5477707006369427,0.6554320987654322
standard,GaussianNB,0.7506638714185885,0.6681442912093067,0.5888888888888889,0.6197446481966605,0.8179532163742689,0.7272727272727273,0.618421052631579,0.5802469135802469,0.5987261146496815,0.8037037037037037
standard,SVM,0.7731656184486373,0.7434609250398724,0.5678362573099416,0.632867699953659,0.829732664995823,0.7445887445887446,0.6833333333333333,0.5061728395061729,0.5815602836879432,0.817530864197531
