Preprocessing,Model,CV_Accuracy_Mean,CV_Precision_Mean,CV_Recall_Mean,CV_F1_Mean,CV_AUC_Mean,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_AUC
raw,KNN,0.9968,0.9931,1.0,0.9965,1.0,0.9975,0.9946,1.0,0.9973,1.0
raw,NaiveBayes,0.8462,0.8636,0.7845,0.822,0.9424,0.8691,0.8533,0.8579,0.8556,0.9512
raw,SVM,0.9958,0.9909,1.0,0.9954,1.0,0.9975,0.9946,1.0,0.9973,1.0
raw,DecisionTree,0.983,0.9794,0.9836,0.9814,0.9831,0.9926,0.9945,0.9891,0.9918,0.9923
raw,RandomForest,0.9873,0.984,0.9883,0.986,0.9996,0.9975,0.9946,1.0,0.9973,1.0
raw,AdaBoost,0.9947,0.9909,0.9976,0.9942,0.9999,0.9975,0.9946,1.0,0.9973,0.9998
raw,GradientBoosting,0.9915,0.9842,0.9976,0.9908,0.9993,1.0,1.0,1.0,1.0,1.0
raw,LDA,0.9873,0.9736,1.0,0.9864,1.0,0.9877,0.9734,1.0,0.9865,0.9998
raw,MLP,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
raw,LogisticRegression,0.9947,0.9909,0.9976,0.9942,1.0,0.9901,0.9786,1.0,0.9892,0.9999
minmax,KNN,0.9958,0.9909,1.0,0.9954,0.999,0.9975,0.9946,1.0,0.9973,0.9977
minmax,NaiveBayes,0.8462,0.8636,0.7845,0.822,0.9424,0.8691,0.8533,0.8579,0.8556,0.9512
minmax,SVM,0.9958,0.9909,1.0,0.9954,1.0,0.9975,0.9946,1.0,0.9973,1.0
minmax,DecisionTree,0.983,0.9794,0.9836,0.9814,0.9831,0.9926,0.9945,0.9891,0.9918,0.9923
minmax,RandomForest,0.9873,0.984,0.9883,0.986,0.9996,0.9975,0.9946,1.0,0.9973,1.0
minmax,AdaBoost,0.9947,0.9909,0.9976,0.9942,0.9999,0.9975,0.9946,1.0,0.9973,0.9998
minmax,GradientBoosting,0.9915,0.9842,0.9976,0.9908,0.9993,1.0,1.0,1.0,1.0,1.0
minmax,LDA,0.9873,0.9736,1.0,0.9864,1.0,0.9877,0.9734,1.0,0.9865,0.9998
minmax,MLP,0.9926,0.9845,1.0,0.992,1.0,0.9877,0.9734,1.0,0.9865,1.0
minmax,LogisticRegression,0.9777,0.9776,0.9742,0.9754,0.9985,0.9827,0.9731,0.9891,0.981,0.999
standard,KNN,0.9958,0.9909,1.0,0.9954,0.999,0.9975,0.9946,1.0,0.9973,0.9977
standard,NaiveBayes,0.8462,0.8636,0.7845,0.822,0.9424,0.8691,0.8533,0.8579,0.8556,0.9512
standard,SVM,0.9958,0.9909,1.0,0.9954,1.0,0.9975,0.9946,1.0,0.9973,1.0
standard,DecisionTree,0.983,0.9794,0.9836,0.9814,0.9831,0.9926,0.9945,0.9891,0.9918,0.9923
standard,RandomForest,0.9873,0.984,0.9883,0.986,0.9996,0.9975,0.9946,1.0,0.9973,1.0
standard,AdaBoost,0.9947,0.9909,0.9976,0.9942,0.9999,0.9975,0.9946,1.0,0.9973,0.9998
standard,GradientBoosting,0.9915,0.9842,0.9976,0.9908,0.9993,1.0,1.0,1.0,1.0,1.0
standard,LDA,0.9873,0.9736,1.0,0.9864,1.0,0.9877,0.9734,1.0,0.9865,0.9998
standard,MLP,0.9958,0.9909,1.0,0.9954,1.0,0.9877,0.9734,1.0,0.9865,1.0
standard,LogisticRegression,0.9926,0.9866,0.9976,0.9919,1.0,0.9877,0.9734,1.0,0.9865,0.9999
