Model,Preprocessing,CV_Accuracy_Mean,CV_Precision_Mean,CV_Recall_Mean,CV_F1_Mean,CV_AUC_Mean,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_AUC
GradientBoosting,raw,0.9915,0.9842,0.9976,0.9908,0.9993,1.0,1.0,1.0,1.0,1.0
MLP,raw,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KNN,raw,0.9968,0.9931,1.0,0.9965,1.0,0.9975,0.9946,1.0,0.9973,1.0
RandomForest,raw,0.9873,0.984,0.9883,0.986,0.9996,0.9975,0.9946,1.0,0.9973,1.0
SVM,raw,0.9958,0.9909,1.0,0.9954,1.0,0.9975,0.9946,1.0,0.9973,1.0
AdaBoost,raw,0.9947,0.9909,0.9976,0.9942,0.9999,0.9975,0.9946,1.0,0.9973,0.9998
DecisionTree,raw,0.983,0.9794,0.9836,0.9814,0.9831,0.9926,0.9945,0.9891,0.9918,0.9923
LogisticRegression,raw,0.9947,0.9909,0.9976,0.9942,1.0,0.9901,0.9786,1.0,0.9892,0.9999
LDA,raw,0.9873,0.9736,1.0,0.9864,1.0,0.9877,0.9734,1.0,0.9865,0.9998
NaiveBayes,raw,0.8462,0.8636,0.7845,0.822,0.9424,0.8691,0.8533,0.8579,0.8556,0.9512
