param_model__n_neighbors,param_model__weights,param_model__metric,mean_test_score,rank_test_score
3,distance,euclidean,0.997872340425532,1
5,distance,euclidean,0.997872340425532,1
7,distance,euclidean,0.997872340425532,1
9,distance,euclidean,0.997872340425532,1
11,distance,euclidean,0.997872340425532,1
13,distance,euclidean,0.997872340425532,1
3,distance,manhattan,0.997872340425532,1
5,distance,manhattan,0.997872340425532,1
7,distance,manhattan,0.997872340425532,1
9,distance,manhattan,0.997872340425532,1
11,distance,manhattan,0.997872340425532,1
13,distance,manhattan,0.997872340425532,1
3,uniform,euclidean,0.9968085106382979,13
3,uniform,manhattan,0.9968085106382979,13
5,uniform,euclidean,0.9957503095800968,15
7,uniform,euclidean,0.9957503095800968,15
5,uniform,manhattan,0.9957503095800968,15
7,uniform,manhattan,0.9957503095800968,15
9,uniform,euclidean,0.9946921085218957,19
9,uniform,manhattan,0.9946864797928627,20
11,uniform,manhattan,0.9946864797928627,20
13,uniform,manhattan,0.9946864797928627,20
11,uniform,euclidean,0.9936282787346616,23
13,uniform,euclidean,0.9936282787346616,23
