param_model__C,param_model__kernel,param_model__gamma,mean_test_score,rank_test_score
10.0,rbf,scale,1.0,1
50.0,rbf,scale,1.0,1
50.0,rbf,0.1,1.0,1
100.0,rbf,scale,1.0,1
100.0,rbf,0.1,1.0,1
100.0,linear,scale,0.9989417989417989,6
100.0,linear,0.01,0.9989417989417989,6
100.0,linear,0.1,0.9989417989417989,6
100.0,linear,1,0.9989417989417989,6
1.0,rbf,1,0.9989361702127659,10
10.0,rbf,0.1,0.9989361702127659,10
10.0,rbf,1,0.9989361702127659,10
50.0,rbf,1,0.9989361702127659,10
100.0,rbf,1,0.9989361702127659,10
50.0,linear,scale,0.9978779691545648,15
50.0,linear,0.01,0.9978779691545648,15
50.0,linear,0.1,0.9978779691545648,15
50.0,linear,1,0.9978779691545648,15
100.0,rbf,0.01,0.9978779691545648,15
1.0,rbf,scale,0.9968141393673309,20
1.0,linear,scale,0.9957559383091297,21
1.0,linear,0.01,0.9957559383091297,21
1.0,linear,0.1,0.9957559383091297,21
1.0,rbf,0.1,0.9957559383091297,21
1.0,linear,1,0.9957559383091297,21
10.0,linear,scale,0.9957559383091297,21
10.0,linear,0.01,0.9957559383091297,21
10.0,rbf,0.01,0.9957559383091297,21
10.0,linear,0.1,0.9957559383091297,21
10.0,linear,1,0.9957559383091297,21
50.0,rbf,0.01,0.9957559383091297,21
0.1,rbf,1,0.9957503095800968,32
0.1,rbf,scale,0.9946921085218957,33
0.1,linear,scale,0.9936339074636947,34
0.1,linear,0.01,0.9936339074636947,34
0.1,linear,0.1,0.9936339074636947,34
0.1,linear,1,0.9936339074636947,34
1.0,rbf,0.01,0.9894011032308905,38
0.1,rbf,0.1,0.9893954745018574,39
0.1,rbf,0.01,0.9120454801305865,40
