Model,CV Accuracy,CV Precision,CV Recall,CV F1-Score,CV AUC,Accuracy,Precision,Recall,F1-Score,AUC,Time(s)
kNN,0.92,0.93,0.92,0.91,0.95,0.95,0.96,0.95,0.95,1.0,0.0023
NaiveBayes,0.96,0.96,0.96,0.95,1.0,0.98,0.98,0.98,0.98,1.0,0.0021
SVM,0.93,0.94,0.93,0.93,0.99,0.97,0.97,0.97,0.97,1.0,0.004
DecisionTree,0.91,0.92,0.91,0.9,0.89,0.95,0.96,0.95,0.95,0.93,0.0018
RandomForest,0.95,0.95,0.95,0.94,0.99,0.98,0.98,0.98,0.98,1.0,0.0994
AdaBoost,0.94,0.95,0.94,0.93,0.99,0.95,0.96,0.95,0.95,0.99,0.0542
GradientBoosting,0.94,0.94,0.94,0.94,0.99,0.97,0.97,0.97,0.97,1.0,0.2125
LDA,0.91,0.92,0.91,0.9,0.98,0.91,0.92,0.91,0.9,1.0,0.0024
MLP,0.93,0.94,0.93,0.93,0.98,0.98,0.99,0.98,0.98,1.0,0.3708
LogisticRegression,0.94,0.94,0.94,0.93,0.99,0.98,0.98,0.98,0.98,1.0,0.0076
